"ONS Parliamentary Constituency Code","ONS Parliamentary Constituency Name","ONS Ward Code","ONS Ward Name","ONS LA/UA Code","ONS LA/UA Name"
"706","East Londonderry","95A 01","Banagher","95A","Derry City"
"706","East Londonderry","95A 02","Claudy","95A","Derry City"
"708","Foyle","95A 03","Eglinton","95A","Derry City"
"708","Foyle","95A 04","Holly Mount","95A","Derry City"
"708","Foyle","95A 05","New Buildings","95A","Derry City"
"708","Foyle","95A 06","Enagh","95A","Derry City"
"708","Foyle","95A 07","Caw","95A","Derry City"
"708","Foyle","95A 08","Kilfennan","95A","Derry City"
"708","Foyle","95A 09","Altnagelvin","95A","Derry City"
"708","Foyle","95A 10","Lisnagelvin","95A","Derry City"
"708","Foyle","95A 11","Clondermot","95A","Derry City"
"708","Foyle","95A 12","Victoria","95A","Derry City"
"708","Foyle","95A 13","Ebrington","95A","Derry City"
"708","Foyle","95A 14","Crevagh","95A","Derry City"
"708","Foyle","95A 15","Springtown","95A","Derry City"
"708","Foyle","95A 16","Creggan South","95A","Derry City"
"708","Foyle","95A 17","Brandywell","95A","Derry City"
"708","Foyle","95A 18","The Diamond","95A","Derry City"
"708","Foyle","95A 19","Westland","95A","Derry City"
"708","Foyle","95A 20","Beechwood","95A","Derry City"
"708","Foyle","95A 21","Creggan Central","95A","Derry City"
"708","Foyle","95A 22","Rosemount","95A","Derry City"
"708","Foyle","95A 23","Foyle Springs","95A","Derry City"
"708","Foyle","95A 24","Strand","95A","Derry City"
"708","Foyle","95A 25","Pennyburn","95A","Derry City"
"708","Foyle","95A 26","Carn Hill","95A","Derry City"
"708","Foyle","95A 27","Shantallow West","95A","Derry City"
"708","Foyle","95A 28","Shantallow East","95A","Derry City"
"708","Foyle","95A 29","Ballynashallog","95A","Derry City"
"708","Foyle","95A 30","Culmore","95A","Derry City"
"706","East Londonderry","95B 01","Magilligan","95B","Limavady"
"706","East Londonderry","95B 02","Aghanloo","95B","Limavady"
"706","East Londonderry","95B 03","Forest","95B","Limavady"
"706","East Londonderry","95B 04","Upper Glenshane","95B","Limavady"
"706","East Londonderry","95B 05","Feeny","95B","Limavady"
"706","East Londonderry","95B 06","Dungiven","95B","Limavady"
"706","East Londonderry","95B 07","The Highlands","95B","Limavady"
"706","East Londonderry","95B 08","Glack","95B","Limavady"
"706","East Londonderry","95B 09","Gresteel","95B","Limavady"
"706","East Londonderry","95B 10","Ballykelly","95B","Limavady"
"706","East Londonderry","95B 11","Roeside","95B","Limavady"
"706","East Londonderry","95B 12","Rathbrady","95B","Limavady"
"706","East Londonderry","95B 13","Enagh","95B","Limavady"
"706","East Londonderry","95B 14","Coolessan","95B","Limavady"
"706","East Londonderry","95B 15","Greystone","95B","Limavady"
"706","East Londonderry","95C 01","Kilrea","95C","Coleraine"
"706","East Londonderry","95C 02","Agivey","95C","Coleraine"
"706","East Londonderry","95C 03","Dundooan","95C","Coleraine"
"706","East Londonderry","95C 04","Knocklynn","95C","Coleraine"
"706","East Londonderry","95C 05","Dunluce","95C","Coleraine"
"706","East Londonderry","95C 06","Royal Portrush","95C","Coleraine"
"706","East Londonderry","95C 07","Hopefield","95C","Coleraine"
"706","East Londonderry","95C 08","Atlantic","95C","Coleraine"
"706","East Londonderry","95C 09","Portstewart","95C","Coleraine"
"706","East Londonderry","95C 10","Strand","95C","Coleraine"
"706","East Londonderry","95C 11","University","95C","Coleraine"
"706","East Londonderry","95C 12","Ballysally","95C","Coleraine"
"706","East Londonderry","95C 13","Central","95C","Coleraine"
"706","East Londonderry","95C 14","Cross Glebe","95C","Coleraine"
"706","East Londonderry","95C 15","Mount Sandel","95C","Coleraine"
"706","East Londonderry","95C 16","The Cuts","95C","Coleraine"
"706","East Londonderry","95C 17","Churchland","95C","Coleraine"
"706","East Londonderry","95C 18","Waterside","95C","Coleraine"
"706","East Londonderry","95C 19","Castlerock","95C","Coleraine"
"706","East Londonderry","95C 20","Macosquin","95C","Coleraine"
"706","East Londonderry","95C 21","Ringsend","95C","Coleraine"
"706","East Londonderry","95C 22","Garvagh","95C","Coleraine"
"712","North Antrim","95D 01","Benvardin","95D","Ballymoney"
"712","North Antrim","95D 02","Seacon","95D","Ballymoney"
"712","North Antrim","95D 03","Dervock","95D","Ballymoney"
"712","North Antrim","95D 04","Stranocum","95D","Ballymoney"
"712","North Antrim","95D 05","Balyhoe and Corkey","95D","Ballymoney"
"712","North Antrim","95D 06","Knockaholet","95D","Ballymoney"
"712","North Antrim","95D 07","Route","95D","Ballymoney"
"712","North Antrim","95D 08","Glebe","95D","Ballymoney"
"712","North Antrim","95D 09","Newhill","95D","Ballymoney"
"712","North Antrim","95D 10","Carnany","95D","Ballymoney"
"712","North Antrim","95D 11","Fairhill","95D","Ballymoney"
"712","North Antrim","95D 12","The Vow","95D","Ballymoney"
"712","North Antrim","95D 13","Killoquin Lower","95D","Ballymoney"
"712","North Antrim","95D 14","Dunloy","95D","Ballymoney"
"712","North Antrim","95D 15","Clogh Mills","95D","Ballymoney"
"712","North Antrim","95D 16","Killoquin Upper","95D","Ballymoney"
"712","North Antrim","95E 01","Bushmills","95E","Moyle"
"712","North Antrim","95E 02","Ballylough","95E","Moyle"
"712","North Antrim","95E 03","Dunseverick","95E","Moyle"
"712","North Antrim","95E 04","Carnmoon","95E","Moyle"
"712","North Antrim","95E 05","Kinbane","95E","Moyle"
"712","North Antrim","95E 06","Moss-Side and Moyarget","95E","Moyle"
"712","North Antrim","95E 07","Armoy","95E","Moyle"
"712","North Antrim","95E 08","Dalriada","95E","Moyle"
"712","North Antrim","95E 09","Knocklayd","95E","Moyle"
"712","North Antrim","95E 10","Glentaisie","95E","Moyle"
"712","North Antrim","95E 11","Bonamargy and Rathlin","95E","Moyle"
"712","North Antrim","95E 12","Glenshesk","95E","Moyle"
"705","East Antrim","95E 13","Glendun","95E","Moyle"
"705","East Antrim","95E 14","Glenaan","95E","Moyle"
"705","East Antrim","95E 15","Glenariff","95E","Moyle"
"705","East Antrim","95F 01","Carnlough","95F","Larne"
"705","East Antrim","95F 02","Glenarm","95F","Larne"
"705","East Antrim","95F 03","Carncastle","95F","Larne"
"705","East Antrim","95F 04","Blackcave","95F","Larne"
"705","East Antrim","95F 05","Harbour","95F","Larne"
"705","East Antrim","95F 06","Central","95F","Larne"
"705","East Antrim","95F 07","Town Parks","95F","Larne"
"705","East Antrim","95F 08","Gardenmore","95F","Larne"
"705","East Antrim","95F 09","Craigy Hill","95F","Larne"
"705","East Antrim","95F 10","Ballyloran","95F","Larne"
"705","East Antrim","95F 11","Antiville","95F","Larne"
"705","East Antrim","95F 12","Kilwaughter","95F","Larne"
"705","East Antrim","95F 13","Glynn","95F","Larne"
"705","East Antrim","95F 14","Ballycarry","95F","Larne"
"705","East Antrim","95F 15","Island Magee","95F","Larne"
"712","North Antrim","95G 01","Glenravel","95G","Ballymena"
"712","North Antrim","95G 02","Slemish","95G","Ballymena"
