Type,New Code,Old Code,Name
WMC,N06000001,701,Belfast East
WMC,N06000002,702,Belfast North
WMC,N06000003,703,Belfast South
WMC,N06000004,704,Belfast West
WMC,N06000005,705,East Antrim
WMC,N06000006,706,East Londonderry
WMC,N06000007,707,Fermanagh and South Tyrone
WMC,N06000008,708,Foyle
WMC,N06000009,709,Lagan Valley
WMC,N06000010,710,Mid Ulster
WMC,N06000011,711,Newry and Armagh
WMC,N06000012,712,North Antrim
WMC,N06000013,713,North Down
WMC,N06000014,714,South Antrim
WMC,N06000015,715,South Down
WMC,N06000016,716,Strangford
WMC,N06000017,717,Upper Bann
WMC,N06000018,718,West Tyrone
WMC,S14000001,801,Aberdeen North
WMC,S14000002,802,Aberdeen South
WMC,S14000003,803,Airdrie and Shotts
WMC,S14000004,804,Angus
WMC,S14000005,805,Argyll and Bute
WMC,S14000006,806,"Ayr, Carrick and Cumnock"
WMC,S14000007,807,Banff and Buchan
WMC,S14000008,808,"Berwickshire, Roxburgh and Selkirk"
WMC,S14000009,809,"Caithness, Sutherland and Easter Ross"
WMC,S14000010,810,Central Ayrshire
WMC,S14000011,811,"Coatbridge, Chryston and Bellshill"
WMC,S14000012,812,"Cumbernauld, Kilsyth and Kirkintilloch East"
WMC,S14000013,813,Dumfries and Galloway
WMC,S14000014,814,"Dumfriesshire, Clydesdale and Tweeddale"
WMC,S14000015,815,Dundee East
WMC,S14000016,816,Dundee West
WMC,S14000017,817,Dunfermline and West Fife
WMC,S14000018,818,East Dunbartonshire
WMC,S14000019,819,"East Kilbride, Strathaven and Lesmahagow"
WMC,S14000020,820,East Lothian
WMC,S14000021,821,East Renfrewshire
WMC,S14000022,822,Edinburgh East
WMC,S14000023,823,Edinburgh North and Leith
WMC,S14000024,824,Edinburgh South
WMC,S14000025,825,Edinburgh South West
WMC,S14000026,826,Edinburgh West
WMC,S14000027,847,Na h-Eileanan an Iar
WMC,S14000028,827,Falkirk
WMC,S14000029,828,Glasgow Central
WMC,S14000030,829,Glasgow East
WMC,S14000031,830,Glasgow North
